agency_id,category_major,category_minor,region,department_name,address,phone,url,target_audience,is_user_facing,valid_from,valid_to,source_document,source_page,last_verified_at,agency_type,sido,sigungu,eupmyeondong,road_address,latitude,longitude,geocode_method,geocoded_at,operating_hours,is_active,source_url
f7944c9b-92a9-4e95-9248-164c9fdb4149,FOREIGN_EMPLOYMENT_SUPPORT,F-2-R,충청북도,외국인정책추진단,,043-220-2693,,FOREIGN_WORKER,true,2026-01-01,2026-12-31,충청북도_외국인정책_지원사업_안내_2026.pdf p.5,5,2026-08-12,,,,,,,,,,,true,
98393aa4-9ed6-4542-8426-9e1836989ea1,FOREIGN_EMPLOYMENT_SUPPORT,E-7-4R,충청북도,외국인정책추진단,,043-220-2693,,FOREIGN_WORKER,true,2026-01-01,2026-12-31,충청북도_외국인정책_지원사업_안내_2026.pdf p.5,5,2026-08-12,,,,,,,,,,,true,
2c682706-e701-4698-b8d3-5af02f051279,FOREIGN_EMPLOYMENT_SUPPORT,F-4-R,충청북도,외국인정책추진단,,043-220-2693,,FOREIGN_WORKER,true,2026-01-01,2026-12-31,충청북도_외국인정책_지원사업_안내_2026.pdf p.5,5,2026-08-12,,,,,,,,,,,true,
adaef74b-b60f-40f7-a2b0-90502eaae6cd,FOREIGN_EMPLOYMENT_SUPPORT,E-7-4-GENERAL,충청북도,외국인정책추진단,,043-220-2702,,FOREIGN_WORKER,true,2026-01-01,2026-12-31,충청북도_외국인정책_지원사업_안내_2026.pdf p.5,5,2026-08-12,,,,,,,,,,,true,
f1e926fb-563c-42d0-b1c1-9ed3ca082b21,FOREIGN_EMPLOYMENT_SUPPORT,E-7-4-GENERAL,청주,자치행정과,,043-201-1583,,FOREIGN_WORKER,true,2026-01-01,2026-12-31,충청북도_외국인정책_지원사업_안내_2026.pdf p.5,5,2026-08-12,,,,,,,,,,,true,
a3d3c758-068f-4592-9573-042a5a930855,FOREIGN_EMPLOYMENT_SUPPORT,E-7-4-GENERAL,충주,기획예산과,,043-850-5262,,FOREIGN_WORKER,true,2026-01-01,2026-12-31,충청북도_외국인정책_지원사업_안내_2026.pdf p.5,5,2026-08-12,,,,,,,,,,,true,
8333a372-c2e8-456f-8175-eae878d78bc2,FOREIGN_EMPLOYMENT_SUPPORT,F-2-R,제천,미래정책과,,043-641-5982,,FOREIGN_WORKER,true,2026-01-01,2026-12-31,충청북도_외국인정책_지원사업_안내_2026.pdf p.5,5,2026-08-12,,,,,,,,,,,true,
5bb9d441-7958-4d54-b6f6-e89e373d5e0b,FOREIGN_EMPLOYMENT_SUPPORT,E-7-4R,제천,미래정책과,,043-641-5982,,FOREIGN_WORKER,true,2026-01-01,2026-12-31,충청북도_외국인정책_지원사업_안내_2026.pdf p.5,5,2026-08-12,,,,,,,,,,,true,
425bd376-215b-49ae-bce1-bf9932dfbb1d,FOREIGN_EMPLOYMENT_SUPPORT,F-4-R,제천,미래정책과,,043-641-5982,,FOREIGN_WORKER,true,2026-01-01,2026-12-31,충청북도_외국인정책_지원사업_안내_2026.pdf p.5,5,2026-08-12,,,,,,,,,,,true,
6a1bcb48-7597-4b97-a261-9096ff8920c1,FOREIGN_EMPLOYMENT_SUPPORT,E-7-4-GENERAL,제천,미래정책과,,043-641-5982,,FOREIGN_WORKER,true,2026-01-01,2026-12-31,충청북도_외국인정책_지원사업_안내_2026.pdf p.5,5,2026-08-12,,,,,,,,,,,true,
