fact_id,visa_code,announcement_round,fact_domain,fact_key,fact_name_kr,value_text,value_number,unit,source_document_id,source_section,source_block_index,source_table_index,source_text,extraction_status,confidence
c523f064-7ab1-5f6f-b5a4-76931aedb04e,F-2-R,17,application,application:start,전체 사업 접수 시작일,2025-03-07,,date,r17_announcement_2026_df1fdde9,0,12,,❍ 접수기간 : ’25. 3. 7.(금) ~ ’26. 9. 18.(금)까지(상시접수),auto_extracted,0.98
75dd5d66-2960-541e-baa8-8f94ec097332,F-2-R,17,application,application:end,전체 사업 접수 종료일,2026-09-18,,date,r17_announcement_2026_df1fdde9,0,12,,❍ 접수기간 : ’25. 3. 7.(금) ~ ’26. 9. 18.(금)까지(상시접수),auto_extracted,0.98
e2cc471d-2a15-5fc1-93a6-c2d02bbeb239,F-2-R,17,application,application:total_quota,총 모집인원,,311.0,person,r17_announcement_2026_df1fdde9,0,12,,❍ 접수기간 : ’25. 3. 7.(금) ~ ’26. 9. 18.(금)까지(상시접수),auto_extracted,0.98
0c93d3b7-a9f1-5359-ae84-a87865fe58d2,F-2-R,17,regional_quota,quota:괴산군:allocated,괴산군 배정 인원,,30.0,person,r17_announcement_2026_df1fdde9,0,,5,괴산 | 30 | 17 | 13,auto_extracted,0.98
520da226-03fe-5099-b2d2-f86d5babb249,F-2-R,17,regional_quota,quota:괴산군:recommended,괴산군 기추천 인원,,17.0,person,r17_announcement_2026_df1fdde9,0,,5,괴산 | 30 | 17 | 13,auto_extracted,0.98
f19abdb4-ac0a-55dd-bbd6-4190a19ab053,F-2-R,17,regional_quota,quota:괴산군:remaining,괴산군 잔여 인원,,13.0,person,r17_announcement_2026_df1fdde9,0,,5,괴산 | 30 | 17 | 13,auto_extracted,0.98
fa35e99b-55c4-520d-b6e5-1a759fab82be,F-2-R,17,regional_quota,quota:단양군:allocated,단양군 배정 인원,,44.0,person,r17_announcement_2026_df1fdde9,0,,5,단양 | 44 | 36 | 8,auto_extracted,0.98
e4be2b40-dae0-54f5-a91d-53fa21aafd5f,F-2-R,17,regional_quota,quota:단양군:recommended,단양군 기추천 인원,,36.0,person,r17_announcement_2026_df1fdde9,0,,5,단양 | 44 | 36 | 8,auto_extracted,0.98
2c7a67ce-82f1-5f3c-9b8d-c6d34272bff2,F-2-R,17,regional_quota,quota:단양군:remaining,단양군 잔여 인원,,8.0,person,r17_announcement_2026_df1fdde9,0,,5,단양 | 44 | 36 | 8,auto_extracted,0.98
1c924000-a660-5809-8769-bf016a795db2,F-2-R,17,regional_quota,quota:보은군:allocated,보은군 배정 인원,,70.0,person,r17_announcement_2026_df1fdde9,0,,5,보은 | 70 | 41 | 29,auto_extracted,0.98
