document_requirement_id,visa_id,submission_stage,submitted_by,document_category,alternative_group,document_name,required_status,condition_note,display_order,valid_from,valid_to,source_document_id,source_section,source_block_index,source_table_index,source_text,source_round,fill_strategy,date_basis,extracted_at,last_verified_at,extraction_status,confidence
f2032bf8-91ca-566e-b8c1-d123ccda2fde,78dca2d7-f771-553a-b788-46c9ff56d633,city_county,외국인 신청자,application,,통합신청서,required,,1,,,r17_announcement_2026_df1fdde9,0,42,9,"<시군 제출 서류> / □ 외국인 / - 신 청 자 / ① 통합신청서, 여권 사본, 외국인등록증 사본, 외국인등록사실증명(필수) / ② 소득, 학력 입증서류 (㉮, ㉯ 두 요건 중 하나만 구비 하면 족함) / 거주지 입증서류 : 부동산임대차계약서, 부동산등기부등본, 기숙사(숙소) 제공확인서* 등(택1) / * 숙소제공자의 확인 서명 등이 필요하며, 실거주 예정임을 확인할 수 있어야함 / 경제활동 입증서류 / - (취업) 고용계약서, 재직증명서, 사업자등록증, 법인등기부등본 등 / - (창업) 투자금 증빙서류*, 사업자등록증, 법인등기사항전부",17,latest,round-17 document list,2026-08-18T07:51:13+00:00,2026-08-18,reviewed,0.99
89a1b371-a58e-5230-b56d-8c9d1fcfe23d,78dca2d7-f771-553a-b788-46c9ff56d633,city_county,외국인 신청자,identity,,여권 사본,required,,2,,,r17_announcement_2026_df1fdde9,0,42,9,"<시군 제출 서류> / □ 외국인 / - 신 청 자 / ① 통합신청서, 여권 사본, 외국인등록증 사본, 외국인등록사실증명(필수) / ② 소득, 학력 입증서류 (㉮, ㉯ 두 요건 중 하나만 구비 하면 족함) / 거주지 입증서류 : 부동산임대차계약서, 부동산등기부등본, 기숙사(숙소) 제공확인서* 등(택1) / * 숙소제공자의 확인 서명 등이 필요하며, 실거주 예정임을 확인할 수 있어야함 / 경제활동 입증서류 / - (취업) 고용계약서, 재직증명서, 사업자등록증, 법인등기부등본 등 / - (창업) 투자금 증빙서류*, 사업자등록증, 법인등기사항전부",17,latest,round-17 document list,2026-08-18T07:51:13+00:00,2026-08-18,reviewed,0.99
93314914-4be0-58be-997c-b11e7abf8458,78dca2d7-f771-553a-b788-46c9ff56d633,city_county,외국인 신청자,identity,,외국인등록증 사본,required,,3,,,r17_announcement_2026_df1fdde9,0,42,9,"<시군 제출 서류> / □ 외국인 / - 신 청 자 / ① 통합신청서, 여권 사본, 외국인등록증 사본, 외국인등록사실증명(필수) / ② 소득, 학력 입증서류 (㉮, ㉯ 두 요건 중 하나만 구비 하면 족함) / 거주지 입증서류 : 부동산임대차계약서, 부동산등기부등본, 기숙사(숙소) 제공확인서* 등(택1) / * 숙소제공자의 확인 서명 등이 필요하며, 실거주 예정임을 확인할 수 있어야함 / 경제활동 입증서류 / - (취업) 고용계약서, 재직증명서, 사업자등록증, 법인등기부등본 등 / - (창업) 투자금 증빙서류*, 사업자등록증, 법인등기사항전부증명서, 사업장 존재",17,latest,round-17 document list,2026-08-18T07:51:13+00:00,2026-08-18,reviewed,0.99
1c637de8-3c70-503c-a4c5-8e3dee1772bd,78dca2d7-f771-553a-b788-46c9ff56d633,city_county,외국인 신청자,identity,,외국인등록사실증명,required,,4,,,r17_announcement_2026_df1fdde9,0,42,9,"<시군 제출 서류> / □ 외국인 / - 신 청 자 / ① 통합신청서, 여권 사본, 외국인등록증 사본, 외국인등록사실증명(필수) / ② 소득, 학력 입증서류 (㉮, ㉯ 두 요건 중 하나만 구비 하면 족함) / 거주지 입증서류 : 부동산임대차계약서, 부동산등기부등본, 기숙사(숙소) 제공확인서* 등(택1) / * 숙소제공자의 확인 서명 등이 필요하며, 실거주 예정임을 확인할 수 있어야함 / 경제활동 입증서류 / - (취업) 고용계약서, 재직증명서, 사업자등록증, 법인등기부등본 등 / - (창업) 투자금 증빙서류*, 사업자등록증, 법인등기사항전부증명서, 사업장 존재 입증 서류 (사무",17,latest,round-17 document list,2026-08-18T07:51:13+00:00,2026-08-18,reviewed,0.99
d894e4d9-e884-55f3-9ade-ca1f80be6910,78dca2d7-f771-553a-b788-46c9ff56d633,city_county,외국인 신청자,eligibility,education_or_income,학력 입증서류,alternative,학력 또는 소득 중 충족하는 요건의 입증서류,5,,,r17_announcement_2026_df1fdde9,0,42,9,"<시군 제출 서류> / □ 외국인 / - 신 청 자 / ① 통합신청서, 여권 사본, 외국인등록증 사본, 외국인등록사실증명(필수) / ② 소득, 학력 입증서류 (㉮, ㉯ 두 요건 중 하나만 구비 하면 족함) / 거주지 입증서류 : 부동산임대차계약서, 부동산등기부등본, 기숙사(숙소) 제공확인서* 등(택1) / * 숙소제공자의 확인 서명 등이 필요하며, 실거주 예정임을 확인할 수 있어야함 / 경제활동 입증서류 / - (취업) 고용계약서, 재직증명서, 사업자등록증, 법인등기부등본 등 / - (창업) 투자금 증빙서류*, 사업자등록증, 법인등기사항전부증명서, 사업장 존재 입증 서류 (사무실 임대차 계약서, 사업장 전경‧사무",17,latest,round-17 document list,2026-08-18T07:51:13+00:00,2026-08-18,reviewed,0.99
42229f6a-06b3-5d8f-a102-30cb547ba577,78dca2d7-f771-553a-b788-46c9ff56d633,city_county,외국인 신청자,eligibility,education_or_income,소득 입증서류,alternative,학력 또는 소득 중 충족하는 요건의 입증서류,6,,,r17_announcement_2026_df1fdde9,0,42,9,"<시군 제출 서류> / □ 외국인 / - 신 청 자 / ① 통합신청서, 여권 사본, 외국인등록증 사본, 외국인등록사실증명(필수) / ② 소득, 학력 입증서류 (㉮, ㉯ 두 요건 중 하나만 구비 하면 족함) / 거주지 입증서류 : 부동산임대차계약서, 부동산등기부등본, 기숙사(숙소) 제공확인서* 등(택1) / * 숙소제공자의 확인 서명 등이 필요하며, 실거주 예정임을 확인할 수 있어야함 / 경제활동 입증서류 / - (취업) 고용계약서, 재직증명서, 사업자등록증, 법인등기부등본 등 / - (창업) 투자금 증빙서류*, 사업자등록증, 법인등기사항전부증명서, 사업장 존재 입증 서류 (사무실 임대차 계약서, 사업장 전경‧사무",17,latest,round-17 document list,2026-08-18T07:51:13+00:00,2026-08-18,reviewed,0.99
5af0aa6c-9706-5f61-a949-eeeff7f8a244,78dca2d7-f771-553a-b788-46c9ff56d633,city_county,외국인 신청자,residence,residence_proof,부동산임대차계약서,alternative,,7,,,r17_announcement_2026_df1fdde9,0,42,9,"<시군 제출 서류> / □ 외국인 / - 신 청 자 / ① 통합신청서, 여권 사본, 외국인등록증 사본, 외국인등록사실증명(필수) / ② 소득, 학력 입증서류 (㉮, ㉯ 두 요건 중 하나만 구비 하면 족함) / 거주지 입증서류 : 부동산임대차계약서, 부동산등기부등본, 기숙사(숙소) 제공확인서* 등(택1) / * 숙소제공자의 확인 서명 등이 필요하며, 실거주 예정임을 확인할 수 있어야함 / 경제활동 입증서류 / - (취업) 고용계약서, 재직증명서, 사업자등록증, 법인등기부등본 등 / - (창업) 투자금 증빙서류*, 사업자등록증, 법인등기사항전부증명서, 사업장 존재 입증 서류 (사무실 임대차 계약서, 사업장 전경‧사무공간‧간판 사진 등 자료) 등 / * 해당국 세관이나 본국 은행 (금융기관)의 외화반출허가",17,latest,round-17 document list,2026-08-18T07:51:13+00:00,2026-08-18,reviewed,0.99
5c9dc4a2-9b91-54ca-a147-38b52ccd6795,78dca2d7-f771-553a-b788-46c9ff56d633,city_county,외국인 신청자,residence,residence_proof,부동산등기부등본,alternative,,8,,,r17_announcement_2026_df1fdde9,0,42,9,"<시군 제출 서류> / □ 외국인 / - 신 청 자 / ① 통합신청서, 여권 사본, 외국인등록증 사본, 외국인등록사실증명(필수) / ② 소득, 학력 입증서류 (㉮, ㉯ 두 요건 중 하나만 구비 하면 족함) / 거주지 입증서류 : 부동산임대차계약서, 부동산등기부등본, 기숙사(숙소) 제공확인서* 등(택1) / * 숙소제공자의 확인 서명 등이 필요하며, 실거주 예정임을 확인할 수 있어야함 / 경제활동 입증서류 / - (취업) 고용계약서, 재직증명서, 사업자등록증, 법인등기부등본 등 / - (창업) 투자금 증빙서류*, 사업자등록증, 법인등기사항전부증명서, 사업장 존재 입증 서류 (사무실 임대차 계약서, 사업장 전경‧사무공간‧간판 사진 등 자료) 등 / * 해당국 세관이나 본국 은행 (금융기관)의 외화반출허가(신고)서(해당자)",17,latest,round-17 document list,2026-08-18T07:51:13+00:00,2026-08-18,reviewed,0.99
b421c216-adef-5292-862e-362fd60fddf5,78dca2d7-f771-553a-b788-46c9ff56d633,city_county,외국인 신청자,residence,residence_proof,기숙사(숙소) 제공확인서,alternative,숙소제공자 확인 서명 및 실거주 예정 확인 필요,9,,,r17_announcement_2026_df1fdde9,0,42,9,"<시군 제출 서류> / □ 외국인 / - 신 청 자 / ① 통합신청서, 여권 사본, 외국인등록증 사본, 외국인등록사실증명(필수) / ② 소득, 학력 입증서류 (㉮, ㉯ 두 요건 중 하나만 구비 하면 족함) / 거주지 입증서류 : 부동산임대차계약서, 부동산등기부등본, 기숙사(숙소) 제공확인서* 등(택1) / * 숙소제공자의 확인 서명 등이 필요하며, 실거주 예정임을 확인할 수 있어야함 / 경제활동 입증서류 / - (취업) 고용계약서, 재직증명서, 사업자등록증, 법인등기부등본 등 / - (창업) 투자금 증빙서류*, 사업자등록증, 법인등기사항전부증명서, 사업장 존재 입증 서류 (사무실 임대차 계약서, 사업장 전경‧사무공간‧간판 사진 등 자료) 등 / * 해당국 세관이나 본국 은행 (금융기관)의 외화반출허가(신고)서(해당자), 투자자금 도입 내역서 (",17,latest,round-17 document list,2026-08-18T07:51:13+00:00,2026-08-18,reviewed,0.99
5e1cc453-981f-59eb-97ab-4ae124cad88e,78dca2d7-f771-553a-b788-46c9ff56d633,city_county,취업 신청자,employment,,고용계약서,conditional,취업 신청 시,10,,,r17_announcement_2026_df1fdde9,0,42,9,"<시군 제출 서류> / □ 외국인 / - 신 청 자 / ① 통합신청서, 여권 사본, 외국인등록증 사본, 외국인등록사실증명(필수) / ② 소득, 학력 입증서류 (㉮, ㉯ 두 요건 중 하나만 구비 하면 족함) / 거주지 입증서류 : 부동산임대차계약서, 부동산등기부등본, 기숙사(숙소) 제공확인서* 등(택1) / * 숙소제공자의 확인 서명 등이 필요하며, 실거주 예정임을 확인할 수 있어야함 / 경제활동 입증서류 / - (취업) 고용계약서, 재직증명서, 사업자등록증, 법인등기부등본 등 / - (창업) 투자금 증빙서류*, 사업자등록증, 법인등기사항전부증명서, 사업장 존재 입증 서류 (사무실 임대차 계약서, 사업장 전경‧사무공간‧간판 사진 등 자료) 등 / * 해당국 세관이나 본국 은행 (금융기관)의 외화반출허가(신고)서(해당자), 투자자금 도입 내역서 (송금확인증, 외국환 매입증명서, 세관신고서 등), 자본금 사용내역 입증서류 (물품구매 영수증, 사무실 인테리어 비용, 국내은행 계좌 입출금 내역서 등) /",17,latest,round-17 document list,2026-08-18T07:51:13+00:00,2026-08-18,reviewed,0.99
