change_id,visa_id,table_name,field_identifier,from_round,to_round,old_value,new_value,change_type,old_source_page,new_source_page,description
090929de-9ca7-42c6-9049-1947ee9875e2,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,visa_requirement_criteria,employer_capacity.calculation_rule,1,2,"비전문취업(E-9)·선원취업(E-10) 근로자 고용 기업은 최소 1명(인구감소지역·뿌리산업은 2명) 고용 가능. 지역특화 숙련기능인력(E-7-4R) 이외 취업이 가능한 체류자격(E-7, E-9, E-10, H-2 및 F-2, F-4, F-5, F-6)은 외국인 고용인원에서 제외, 단 기존 숙련기능인력(E-7-4) 인원은 고용인원에 포함","숙련기능인력(E-7-4)과 지역특화형 숙련기능인력(E-7-4R)을 합산해 고용인원 산정, 다른 체류자격 외국인은 제외. E-9·E-10 근로자가 E-7-4R로 전환 시 내국인 고용인원 없어도 인구감소관심지역 1명·인구감소지역 2명 허용",value_changed,7,7,고용 가능 인원 산정 기준이 전면 개편됨 - E-9/E-10 최소인원 방식에서 E-7-4/E-7-4R 합산 방식으로 계산 근거 자체가 바뀜 / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨) [provenance] source_document_id=5a8d1bdc-94c6-4411-88b2-7cf59d930363; source_document=공고(2026년 1차).pdf → 공고(2026년 2차).pdf; source_section=3. 자격 요건 > 고용기업 및 고용주 요건 > 고용 가능 인원 산정 기준; source_page=7→7; source_dates=2026-01-13→2026-02-09; valid_from=2026-01-12; valid_to=2026-09-18; verification=verified_changed
343711fe-5ca3-460b-8b51-cfa6f062f4c7,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,visa_requirement_criteria,permitted_stay_duration,1,2,"3회 부여, 체류기간 2년 이내에서 고용계약 범위 내 부여",최대 2년 1개월 범위 내에서 '근로계약기간 + 1개월' 부여,value_changed,7,7,"체류기간 산정 방식이 '고용계약 범위 내 최대 2년, 3회 부여'에서 '근로계약기간+1개월(최대 2년1개월)'로 바뀜 / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨) [provenance] source_document_id=5a8d1bdc-94c6-4411-88b2-7cf59d930363; source_document=공고(2026년 1차).pdf → 공고(2026년 2차).pdf; source_section=3. 자격 요건 > 체류허가 사항 > 체류기간; source_page=7→7; source_dates=2026-01-13→2026-02-09; valid_from=2026-01-12; valid_to=2026-09-18; verification=verified_changed"
94bc460e-b7d9-4a44-9f98-276f5687ba2e,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,visa_requirement_criteria,residence_and_employment_obligation,1,2,체류자격 전환 이후 3년간 해당 광역자치단체에 체류지(주소)를 계속 두고 있어야 함,체류자격을 받은 날로부터 3년 이상 추천지역(인구감소지역 또는 인구감소관심지역)에서 거주하면서 취업활동을 하고자 할 것,scope_changed,7,7,허가조건이 '광역자치단체 내 주소 유지'라는 느슨한 기준에서 '추천지역 거주 + 취업활동'이라는 더 구체적이고 좁은 기준으로 바뀜 / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨) [provenance] source_document_id=5a8d1bdc-94c6-4411-88b2-7cf59d930363; source_document=공고(2026년 1차).pdf → 공고(2026년 2차).pdf; source_section=3. 자격 요건 > 체류허가 사항 > 허가조건; source_page=7→7; source_dates=2026-01-13→2026-02-09; valid_from=2026-01-12; valid_to=2026-09-18; verification=verified_changed
b5a5a452-f7d1-419b-a273-5179ef0423b5,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,visa_requirement_criteria,employer_disqualification_legal_basis,1,2,「외국인 불법고용주 등에 대한 사증발급인정서 발급 등 제한 기준」(체류관리과-...)에 해당되지 않을 것,출입국관리법 시행규칙 제17조의3제2항 각호에 해당하지 않을 것 (위 지침은 세부 심사 기준으로 준용),procedure_changed,7,7,"고용주 결격사유의 1차 법적 근거가 행정지침 직접 인용에서 시행규칙 조항으로 바뀌고, 기존 지침은 심사 세부기준으로 격하됨 / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨) [provenance] source_document_id=5a8d1bdc-94c6-4411-88b2-7cf59d930363; source_document=공고(2026년 1차).pdf → 공고(2026년 2차).pdf; source_section=3. 자격 요건 > 고용주 요건; source_page=7→7; source_dates=2026-01-13→2026-02-09; valid_from=2026-01-12; valid_to=2026-09-18; verification=verified_changed"
21f4a726-b27e-4e88-90b6-2373b2ed419b,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,document_requirements,form_8.fields,1,2,"지역우수인재/대상숙련기능인력/외국국적동포가족 구분, 광역지역·추천지역 별도 기재, 취업/창업 유형은 지역우수인재만 작성","F-2-R/E-7-4R/F-4-R/F-3-2R 구분, 신규·재추천/근무처변경/취창업간변경 구분 추가, 거주및취창업 세부유형(A~D, F-2-R만) 신설",document_changed,21,21,"서식8(광역지자체장 추천서)이 전면 개편됨 - 대상 비자유형이 늘고(F-4-R/F-3-2R 추가), 재추천·변경 구분과 세부 거주유형 항목이 새로 생김 / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨) [provenance] source_document_id=5a8d1bdc-94c6-4411-88b2-7cf59d930363; source_document=공고(2026년 1차).pdf → 공고(2026년 2차).pdf; source_section=서식8 > 광역지자체장 추천서; source_page=21→21; source_dates=2026-01-13→2026-02-09; valid_from=2026-01-12; valid_to=2026-09-18; verification=verified_changed"
f6e81cb9-ae58-4919-adbd-b2dbc49034c7,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,visa_scoring_models,basic_requirement.provincial_governor_recommendation,1,2,(해당 항목 없음),추천지역을 관할하는 광역지자체장의 추천서를 발급받음 (기본요건 ㉠~㉣ 모두 충족해야 함),added,,15,서식3(점수제 자체 심사표)의 기본요건에 '광역지자체장 추천서 발급' 항목이 새로 추가됨 / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨) [provenance] source_document_id=5a8d1bdc-94c6-4411-88b2-7cf59d930363; source_document=공고(2026년 1차).pdf → 공고(2026년 2차).pdf; source_section=서식3 > 점수제 자체 심사표 > 기본요건; source_page=→15; source_dates=2026-01-13→2026-02-09; valid_from=2026-01-12; valid_to=2026-09-18; verification=verified_added
843396fe-8934-4f61-8839-41133dcd8690,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,document_requirements,application_form.attachments.foreign_registration_fact_certificate,4,5,(해당 서류 없음),외국인등록사실증명 추가,added,,8,시군 제출 필수서류 중 서식1 첨부서류 목록에 '외국인등록사실증명'이 새로 추가됨 / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨) [provenance] source_document_id=a501551f-63d8-4ba5-8fb6-72e37c412d88; source_document=공고(2026년 4차).pdf → 공고(2026년 5차).pdf; source_section=4. 제출서류 > 시군 제출 서류 > 필수 서류; source_page=→8; source_dates=2026-04-13→2026-05-12; valid_from=2026-01-12; valid_to=2026-09-18; verification=verified_added
1ecda8ab-1262-4e77-b6ba-6e49a5874daf,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,visa_requirement_criteria,applicant.criminal_record.fine_threshold_manwon,7,8,100만 원 이상,300만 원 이상,value_changed,2,2,"추천대상 결격사유 중 벌금형 기준이 100만원에서 300만원으로 상향됨. 팀 결정에 따라 본문 공고의 300만원 기준을 적용하고, 8차 서식3의 100만원은 미수정 잔존 문구로 기록함 [provenance] source_document_id=81b7eefb-0a51-4f1e-ac02-1ffe9cc3b38b; source_document=공고(2026년 7차).pdf → 공고(2026년 8차).pdf; source_section=3. 자격 요건 > 추천대상 > 제외대상; source_page=2→2; source_dates=2026-07-08→2026-08-03; valid_from=2026-01-12; valid_to=2026-09-18; verification=verified_changed"
a78a5425-6082-40e2-89f1-5a8f6ab74f55,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,visa_scoring_items,penalty.fine.threshold_manwon,7,8,100만원 미만,300만원 미만,value_changed,3,3,"점수제 감점항목 중 벌금형 기준이 100만원 미만에서 300만원 미만으로 상향됨. 팀 결정에 따라 본문 공고의 300만원 기준을 적용하고, 8차 서식3의 100만원은 미수정 잔존 문구로 기록함 [provenance] source_document_id=81b7eefb-0a51-4f1e-ac02-1ffe9cc3b38b; source_document=공고(2026년 7차).pdf → 공고(2026년 8차).pdf; source_section=3. 자격 요건 > 점수제 심사 > 감점 항목; source_page=3→3; source_dates=2026-07-08→2026-08-03; valid_from=2026-01-12; valid_to=2026-09-18; verification=verified_changed"
fb9098df-34a2-4966-a3c4-994b7b99f91d,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,visa_scoring_items,penalty.immigration_violation.includes_administrative_fine,7,8,3회 이하 위반자로 행정처분을 받은 자(과태료 포함),3회 이하 위반자로 행정처분을 받은 자(과태료 미포함),value_changed,3,3,감점 대상 출입국관리법 위반 이력 산정 시 과태료 처분을 포함할지 여부가 '포함'에서 '미포함'으로 바뀜 - 감점 대상 범위가 좁아짐(신청자에게 유리한 방향) / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨) [provenance] source_document_id=81b7eefb-0a51-4f1e-ac02-1ffe9cc3b38b; source_document=공고(2026년 7차).pdf → 공고(2026년 8차).pdf; source_section=3. 자격 요건 > 점수제 심사 > 감점 항목 및 감점 기준 각주; source_page=3→3; source_dates=2026-07-08→2026-08-03; valid_from=2026-01-12; valid_to=2026-09-18; verification=verified_changed
219c77b3-cd57-41d0-89fb-701c708e59cc,346834f7-ac6e-4958-8e0d-8c2b4fb03a7e,visa_requirement_criteria,employer_capacity.tenured_worker_industry_exception,7,8,인구감소관심지역이더라도 뿌리산업은 2명 허용,"인구감소관심지역이더라도 뿌리산업, 농축어업은 2명 허용",scope_changed,7,8,근속자 특례의 업종 예외 범위가 뿌리산업에서 뿌리산업·농축어업으로 확대됨 / PDF 페이지 기준(1~7차는 HWPX 오프셋 검증 안 됨) [provenance] source_document_id=81b7eefb-0a51-4f1e-ac02-1ffe9cc3b38b; source_document=공고(2026년 7차).pdf → 공고(2026년 8차).pdf; source_section=3. 자격 요건 > 고용기업 요건 > 근속자 특례; source_page=7→8; source_dates=2026-07-08→2026-08-03; valid_from=2026-01-12; valid_to=2026-09-18; verification=verified_changed
