mapping_id,visa_id,source_dataset,source_table,source_record_id,source_group_path,source_document_id,source_page,valid_from,valid_to,target_table,target_record_id,mapping_action,mapping_status,blocking_reason,mapped_at,mapping_note
875a6d79-4221-473f-b1bf-29bf3e021516,606d8651-1d04-47fe-8f69-165b3ed3d834,D_visa_requirements,visa_requirements,606d8651-1d04-47fe-8f69-165b3ed3d834,,c4e3a139-af13-44ce-b72f-1f223bfc8db5,1-7,2025-03-07,2026-09-18,visa_requirements,606d8651-1d04-47fe-8f69-165b3ed3d834,COPY,MAPPED,,2026-08-24,v1 공통 마스터(D_visa_requirements) 기존 행 — 이슈 #42 검증 완료 기준. 열 이름만 v2로 변경.
0b22bd72-b092-4f58-9b5f-d5eba4907197,606d8651-1d04-47fe-8f69-165b3ed3d834,D_visa_requirements,visa_requirement_criteria,a2771955-acff-4f73-aeb7-8b7bb27b20e7,,c4e3a139-af13-44ce-b72f-1f223bfc8db5,2,2025-03-07,2026-09-18,visa_requirement_criteria,eafbd794-422f-4297-86aa-ccfa9de37672,TRANSFORM,MAPPED,,2026-08-24,v2 조건 그룹 트리 재구성 대상(plan 3.5단계) — Task 4에서 실제 visa_criterion_groups/visa_requirement_criteria 행 생성 완료. condition_group='G1' condition_operator='OR'.
acc04bd3-73f2-4341-a5a5-1266875a59b3,606d8651-1d04-47fe-8f69-165b3ed3d834,D_visa_requirements,visa_requirement_criteria,c2be9943-fcfd-4345-8e0a-e75d9f3c1b4b,,c4e3a139-af13-44ce-b72f-1f223bfc8db5,2,2025-03-07,2026-09-18,visa_requirement_criteria,83aced12-a348-4021-8c0a-e8f388e992e9,TRANSFORM,MAPPED,,2026-08-24,v2 조건 그룹 트리 재구성 대상(plan 3.5단계) — Task 4에서 실제 visa_criterion_groups/visa_requirement_criteria 행 생성 완료. condition_group='G1' condition_operator='OR'.
d2978bf0-7602-4c18-84dd-238a03ab0c83,606d8651-1d04-47fe-8f69-165b3ed3d834,D_visa_requirements,visa_requirement_criteria,655680d3-1680-4fce-91dc-7b07fb052d3d,,c4e3a139-af13-44ce-b72f-1f223bfc8db5,2,2025-03-07,2026-09-18,visa_requirement_criteria,af15e80c-b28b-4255-9871-2c6e9534e500,TRANSFORM,MAPPED,,2026-08-25,v1에서 BLOCKED였던 해외전입자 신청자격을 v2 F-4-R 신청자격 경로 OR 그룹에 반영. 고시 국가 적용범위 확인은 후속 운영 검증으로 보존.
6d86abd3-ed99-48c1-91c2-ab6d192ca44f,606d8651-1d04-47fe-8f69-165b3ed3d834,D_visa_requirements,visa_requirement_criteria,260878bf-e659-405a-8fdc-ecd0302b0119,,c4e3a139-af13-44ce-b72f-1f223bfc8db5,2,2025-03-07,2026-09-18,visa_requirement_criteria,bfca8c50-f7ff-4b71-83e9-69375a8aac7d,TRANSFORM,MAPPED,,2026-08-24,v2 조건 그룹 트리 재구성 대상(plan 3.5단계) — Task 4에서 실제 visa_criterion_groups/visa_requirement_criteria 행 생성 완료. condition_group='' condition_operator=''.
09c6fccf-affd-41c6-9ca5-95a3d701f050,606d8651-1d04-47fe-8f69-165b3ed3d834,D_visa_requirements,visa_requirement_criteria,2063402f-5a16-44c0-aee5-02c89a8508bb,,c4e3a139-af13-44ce-b72f-1f223bfc8db5,2,2025-03-07,2026-09-18,visa_requirement_criteria,67d63660-9aa8-4ee8-8f4d-2bd1a379f430,TRANSFORM,MAPPED,,2026-08-24,v2 조건 그룹 트리 재구성 대상(plan 3.5단계) — Task 4에서 실제 visa_criterion_groups/visa_requirement_criteria 행 생성 완료. condition_group='' condition_operator=''.
52486872-5e07-447b-b6eb-a40fb27381e8,606d8651-1d04-47fe-8f69-165b3ed3d834,D_visa_requirements,visa_requirement_criteria,816f4899-d4c8-41b1-ab15-a6df1647b5a0,,c4e3a139-af13-44ce-b72f-1f223bfc8db5,2,2025-03-07,2026-09-18,visa_requirement_criteria,8529dc41-378e-49c2-9eaa-109364fb0839,TRANSFORM,MAPPED,,2026-08-24,v2 조건 그룹 트리 재구성 대상(plan 3.5단계) — Task 4에서 실제 visa_criterion_groups/visa_requirement_criteria 행 생성 완료. condition_group='G2' condition_operator='OR'.
34463af6-d7a1-4e36-9145-e25cf8298e35,606d8651-1d04-47fe-8f69-165b3ed3d834,D_visa_requirements,visa_requirement_criteria,cc01e696-a3a7-45c7-892f-5d499c4bab89,,c4e3a139-af13-44ce-b72f-1f223bfc8db5,2,2025-03-07,2026-09-18,visa_requirement_criteria,5239697b-0df3-4094-960a-cda2e9b43894,TRANSFORM,MAPPED,,2026-08-24,v2 조건 그룹 트리 재구성 대상(plan 3.5단계) — Task 4에서 실제 visa_criterion_groups/visa_requirement_criteria 행 생성 완료. condition_group='G2' condition_operator='OR'.
d44eaeb8-afa9-493d-b99c-38dab8bf2e4f,606d8651-1d04-47fe-8f69-165b3ed3d834,D_visa_requirements,visa_requirement_criteria,dbe82f84-8e4c-44a1-b76c-079a2d74576e,,c4e3a139-af13-44ce-b72f-1f223bfc8db5,3,2025-03-07,2026-09-18,visa_requirement_criteria,186ddb6a-e1fb-4839-9c11-b871c97afb28,TRANSFORM,MAPPED,,2026-08-24,v2 조건 그룹 트리 재구성 대상(plan 3.5단계) — Task 4에서 실제 visa_criterion_groups/visa_requirement_criteria 행 생성 완료. condition_group='' condition_operator=''.
2dea41e9-8e07-4e63-9e25-8fd29af744f3,606d8651-1d04-47fe-8f69-165b3ed3d834,D_visa_requirements,visa_requirement_criteria,a5d39492-b577-4df0-ad12-8fdcea634763,,c4e3a139-af13-44ce-b72f-1f223bfc8db5,3,2025-03-07,2026-09-18,visa_requirement_criteria,569bf58f-b651-4e4f-ace5-2907ccd3d033,TRANSFORM,MAPPED,,2026-08-24,v2 조건 그룹 트리 재구성 대상(plan 3.5단계) — Task 4에서 실제 visa_criterion_groups/visa_requirement_criteria 행 생성 완료. condition_group='' condition_operator=''.
